NaN,0.932,0.17299,0.18399,0.060993,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,1.027,0.294,0.032,0.11999,NaN,0.024995
NaN,NaN,0.719,0.136,0.699,0.061998,0.22499,0.069992
NaN,NaN,0.018991,0.062995,0.079999,0.38099,0.324,NaN
NaN,NaN,NaN,0.076993,0.010994,0.23999,0.97499,NaN
NaN,NaN,0.651,0.20799,0.11,0.121,0.738,0.37299
NaN,NaN,0.734,0.22399,NaN,0.35099,0.63799,NaN
NaN,NaN,NaN,1.079,0.126,0.00099128,0.31599,0.074998
NaN,NaN,0.36799,0.073993,0.202,0.414,0.424,NaN
NaN,NaN,0.914,0.061996,0.174,0.183,0.207,NaN
NaN,1.032,0.097994,0.197,0.12099,NaN,1.024,NaN
NaN,NaN,0.47,0.101,0.095,NaN,NaN,NaN
NaN,NaN,0.052994,0.027,0.080992,0.46799,0.29199,NaN
NaN,NaN,0.829,0.23,0.11199,0.077991,0.069993,NaN
NaN,0.92099,0.16199,0.215,0.265,0.20899,0.00099693,0.377
NaN,NaN,0.70199,0.135,0.10899,0.091998,0.434,NaN
NaN,0.98799,0.10699,0.106,0.52699,0.49299,0.49799,NaN
NaN,NaN,NaN,0.26899,0.16599,NaN,NaN,NaN
