NaN,0.832,0.187,0.22701,0.254,0.119,NaN,0.35701
NaN,1.076,0.194,0.14801,0.075003,0.025001,0.169,NaN
NaN,NaN,NaN,NaN,0.37,0.82901,NaN,NaN
NaN,NaN,NaN,NaN,0.16501,0.293,0.34701,NaN
NaN,NaN,NaN,0.893,0.289,NaN,NaN,NaN
NaN,0.901,0.015007,0.153,0.069,0.233,1.003,0.025008
NaN,1.09,0.16601,0.126,0.218,NaN,0.637,0.31
NaN,1.108,0.176,0.13401,0.113,0.073006,0.203,0.249
NaN,NaN,NaN,NaN,0.427,0.403,NaN,NaN
NaN,0.912,0.13501,0.029006,0.11001,0.25,1.031,0.028006
NaN,NaN,NaN,NaN,0.821,0.32,NaN,0.498
NaN,0.85801,0.14301,0.096001,0.34801,0.078007,0.28301,NaN
